timestamp,simulated_time_seconds,state,plate_temp_f,bin_temp_f,target_temp_f,cycle_count,chill_mode,compressor_1,compressor_2,condenser_fan,hot_gas_solenoid,water_valve,recirculating_pump,ice_cutter
2026-01-25T03:47:23.320Z,,CHILL,52.36,46.06,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:23.717Z,,CHILL,51.24,46.06,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:28.318Z,,CHILL,51.24,46.06,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:28.328Z,,CHILL,51.24,46.06,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:28.336Z,,CHILL,51.24,46.06,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:28.344Z,,CHILL,51.24,46.06,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:30.472Z,,CHILL,49.78,45.95,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:33.439Z,,CHILL,49.78,45.95,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:33.443Z,,CHILL,49.78,45.95,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:37.330Z,,CHILL,46.06,46.06,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:38.450Z,,CHILL,46.06,46.06,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:38.459Z,,CHILL,46.06,46.06,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:38.466Z,,CHILL,46.06,46.06,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:38.475Z,,CHILL,46.06,46.06,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:38.499Z,,CHILL,46.06,46.06,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:38.507Z,,CHILL,46.06,46.06,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:38.513Z,,CHILL,46.06,46.06,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:43.576Z,,CHILL,46.06,46.06,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:43.580Z,,CHILL,46.06,46.06,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:43.588Z,,CHILL,46.06,46.06,32.00,0,prechill,1,1,1,0,0,0,1
2026-01-25T03:47:43.597Z,,CHILL,46.06,46.06,32.00,0,prechill,1,1,1,0,0,0,1
